"","av","bv","pv","av...bv"
"255",9,17,0.0467742421777729,26
"256",365,1636,0.977345137910332,2001
"257",400,1601,0.508920006874197,2001
"258",7,11,0.0376634429053338,18
"259",37,106,0.0479143933695803,143
"260",31,83,0.0351705543959539,114
"261",421,1580,0.126243645856816,2001
"262",417,1584,0.177941128142563,2001
"263",421,1580,0.126243645856816,2001
"264",385,1616,0.806507097603778,2001
"265",18,44,0.0496055650105472,62
"266",419,1582,0.150603204937621,2001
"267",382,1619,0.849578467874578,2001
"268",262,930,0.0469471323143413,1192
"269",382,1619,0.849578467874578,2001
"270",391,1610,0.700913486690339,2001
"271",95,311,0.0488056966558816,406
"272",15,34,0.043732556635041,49
"273",88,284,0.044286808452332,372
"274",409,1592,0.315801182934282,2001
"275",382,1619,0.849578467874578,2001
"276",18,42,0.0365086448232245,60
"277",388,1613,0.756753824871251,2001
"278",393,1608,0.660794083224133,2001
"279",400,1601,0.508920006874197,2001
"280",105,345,0.0433845048446245,450
"281",403,1598,0.442265675267753,2001
"282",30,82,0.0452881896302607,112
"283",26,68,0.0407802543296434,94
"284",385,1616,0.806507097603778,2001
"285",407,1594,0.356364123020496,2001
"286",227,799,0.0479076207863941,1026
"287",342,1235,0.0499069312997938,1577
"288",357,1644,0.993069277940697,2001
"289",388,1613,0.756753824871251,2001
"290",155,530,0.0469292164592845,685
"291",28,76,0.0483738603057165,104
"292",57,175,0.0477554847877261,232
"293",407,1594,0.356364123020496,2001
"294",34,96,0.0484761998686682,130
"295",397,1604,0.575449000831754,2001
"296",385,1616,0.806507097603778,2001
"297",404,1597,0.420341167570075,2001
"298",371,1630,0.951456852789237,2001
"299",172,592,0.0451040116126839,764
"300",390,1611,0.720148574937026,2001
"301",129,434,0.0465253442725631,563
"302",13,26,0.0287921062236707,39
"303",381,1620,0.862410181386441,2001
"304",391,1610,0.700913486690339,2001
"305",405,1596,0.398674435643595,2001
"306",11,22,0.0410883210235406,33
"307",389,1612,0.738774731153557,2001
"308",375,1626,0.923858425154646,2001
"309",374,1627,0.93167249535299,2001
"310",367,1634,0.970446913471436,2001
"311",402,1599,0.464382262507213,2001
"312",18,43,0.0426972994172342,61
"313",103,340,0.0487616794328347,443
"314",389,1612,0.738774731153557,2001
"315",387,1614,0.774052990060254,2001
"316",389,1612,0.738774731153557,2001
"317",392,1609,0.681112660554043,2001
"318",395,1606,0.618817486564757,2001
"319",409,1592,0.315801182934282,2001
"320",372,1629,0.945442102267396,2001
"321",388,1613,0.756753824871251,2001
"322",395,1606,0.618817486564757,2001
"323",408,1593,0.335837388688496,2001
"324",394,1607,0.640010194963003,2001
"325",37,106,0.0479143933695803,143
"326",384,1617,0.821623439477988,2001
"327",397,1604,0.575449000831754,2001
"328",35,98,0.0423922820901084,133
"329",404,1597,0.420341167570075,2001
"330",7,10,0.026657331511296,17
"331",8,13,0.0321426630808751,21
"332",371,1630,0.951456852789237,2001
"333",393,1608,0.660794083224133,2001
"334",35,98,0.0423922820901084,133
"335",384,1617,0.821623439477988,2001
"336",398,1603,0.553402044504241,2001
"337",4,4,0.033344,8
"338",44,130,0.0483665721058523,174
"339",370,1631,0.956932858785809,2001
"340",387,1614,0.774052990060254,2001
"341",386,1615,0.79064475444227,2001
"342",6,9,0.04385438056448,15
"343",398,1603,0.553402044504241,2001
"344",396,1605,0.597276037395401,2001
"345",7,11,0.0376634429053338,18
"346",382,1619,0.849578467874578,2001
"347",416,1585,0.192728522957567,2001
"348",391,1610,0.700913486690339,2001
"349",28,74,0.0384878470790012,102
"350",393,1608,0.660794083224133,2001
"351",369,1632,0.961901889365163,2001
"352",58,178,0.0460444619514895,236
"353",411,1590,0.277389055861765,2001
"354",413,1588,0.241456973896543,2001
"355",60,186,0.0493334605921195,246
"356",386,1615,0.79064475444227,2001
"357",374,1627,0.93167249535299,2001
"358",28,75,0.0432225277431368,103
"359",412,1589,0.259095552284785,2001
"360",400,1601,0.508920006874197,2001
"361",398,1603,0.553402044504241,2001
"362",382,1619,0.849578467874578,2001
"363",409,1592,0.315801182934282,2001
"364",198,689,0.0455175692219531,887
"365",58,177,0.0428088803251028,235
"366",383,1618,0.835982562000426,2001
"367",411,1590,0.277389055861765,2001
"368",407,1594,0.356364123020496,2001
"369",393,1608,0.660794083224133,2001
"370",397,1604,0.575449000831754,2001
"371",383,1618,0.835982562000426,2001
"372",153,523,0.0477054397412165,676
"373",401,1600,0.486623333352149,2001
"374",389,1612,0.738774731153557,2001
"375",403,1598,0.442265675267753,2001
"376",70,220,0.0450576897789337,290
"377",388,1613,0.756753824871251,2001
"378",392,1609,0.681112660554043,2001
"379",9,16,0.0361749880288391,25
"380",394,1607,0.640010194963003,2001
"381",375,1626,0.923858425154646,2001
"382",396,1605,0.597276037395401,2001
"383",133,449,0.0471849729663059,582
"384",408,1593,0.335837388688496,2001
"385",392,1609,0.681112660554043,2001
"386",387,1614,0.774052990060254,2001
"387",10,18,0.0304250658434698,28
"388",419,1526,0.047059541656217,1945
"389",395,1606,0.618817486564757,2001
"390",376,1625,0.915387973059641,2001
"391",423,1578,0.104797849081733,2001
"392",391,1610,0.700913486690339,2001
"393",398,1603,0.553402044504241,2001
"394",387,1614,0.774052990060254,2001
"395",139,472,0.0491261365808124,611
"396",403,1598,0.442265675267753,2001
